INFO  | 06/16/2022 09:57:14 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0735 iteration 00000560 = 0.13301652669906616
INFO  | 06/16/2022 09:57:18 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0736 iteration 00000565 = 0.1973055899143219
INFO  | 06/16/2022 09:57:22 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0736 iteration 00000570 = 0.1476987898349762
INFO  | 06/16/2022 09:57:27 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0736 iteration 00000575 = 0.15309983491897583
INFO  | 06/16/2022 09:57:28 PM | File gran_runner.py       | Line 283   | Saving Snapshot @ epoch 0736
INFO  | 06/16/2022 09:57:32 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0737 iteration 00000580 = 0.15109184384346008
INFO  | 06/16/2022 09:57:36 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0737 iteration 00000585 = 0.11922232806682587
INFO  | 06/16/2022 09:57:42 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0737 iteration 00000590 = 0.13928154110908508
INFO  | 06/16/2022 09:57:46 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0738 iteration 00000595 = 0.14920559525489807
INFO  | 06/16/2022 09:57:51 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0738 iteration 00000600 = 0.12480165809392929
INFO  | 06/16/2022 09:57:57 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0738 iteration 00000605 = 0.1992456465959549
INFO  | 06/16/2022 09:58:01 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0739 iteration 00000610 = 0.17203836143016815
INFO  | 06/16/2022 09:58:07 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0739 iteration 00000615 = 0.17018598318099976
INFO  | 06/16/2022 09:58:12 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0739 iteration 00000620 = 0.13650624454021454
INFO  | 06/16/2022 09:58:16 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0740 iteration 00000625 = 0.15425297617912292
INFO  | 06/16/2022 09:58:21 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0740 iteration 00000630 = 0.10845480859279633
INFO  | 06/16/2022 09:58:26 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0740 iteration 00000635 = 0.17183592915534973
INFO  | 06/16/2022 09:58:30 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0740 iteration 00000640 = 0.1663627326488495
INFO  | 06/16/2022 09:58:30 PM | File gran_runner.py       | Line 283   | Saving Snapshot @ epoch 0740
INFO  | 06/16/2022 09:58:35 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0741 iteration 00000645 = 0.15776561200618744
INFO  | 06/16/2022 09:58:40 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0741 iteration 00000650 = 0.14046889543533325
INFO  | 06/16/2022 09:58:44 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0741 iteration 00000655 = 0.17039312422275543
INFO  | 06/16/2022 09:58:49 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0742 iteration 00000660 = 0.15949946641921997
INFO  | 06/16/2022 09:58:54 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0742 iteration 00000665 = 0.19029729068279266
INFO  | 06/16/2022 09:58:59 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0742 iteration 00000670 = 0.13862884044647217
INFO  | 06/16/2022 09:59:03 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0743 iteration 00000675 = 0.1450805366039276
